id,name,climb_category,climb_category_desc,avg_grade,start_lat,start_lng,end_lat,end_lng,elev_difference,distance,points
2438041,Road climb lower lot to radio tower,3,2,8.1,47.71274019,-116.73273053,47.73165276,-116.73012945,559.2,6858.9,s{ebHrjngUg@@F@ILD?Nk@D_@DeCKo@Go@_@kBIUHs@AW][IMMKK@OE]EICQQWCa@Qe@KQ@c@OMMYQMCS?KCOGg@a@SCg@a@a@IMUa@e@i@w@EUq@uB]_BQi@OQK?AHHTX^Mr@Ch@@|ADTHNFPPdAPXTR`@~@Z`@Nb@HL`@TVjANRZDl@t@NF?b@G\XN@TGTe@\QH{@TQ?QFOf@CPKb@Uj@Od@Qz@Yj@]`@S@QCQOOQc@y@UYOI[FIHw@`AONSCy@i@Y_@Qm@KMI@OESI]IOMs@a@W_@MIMO_@NWVOFMEMB[Ey@[QBOIk@JMP?LBTLTX@Zd@HVAZHT@RCVKf@DR?RQf@EVBdACXC\GRc@?k@c@i@QKIOCMAm@J]AYS{@w@k@E[FMA_@OQXGh@e@n@MB{@A_@MMGU[KAKGOH[CEF?PERLDAXJTVpATj@@REZ?XBf@JVDd@Pv@JRb@ZBXUJO?eAcBWW[KIIKOOq@?q@A[GQSWMG[Cy@Ps@A]]GUIQKIm@CKMAw@GGBYDGH_@P[F[M{A_@_B?]G[L_@DW[OW?YIe@Gi@?YM]Ia@SOEGUCy@D[NUP}AUQu@kAIBMAMIKKYa@Si@EUW]Sa@Ka@O[]_BGy@NINAJDFAJMX?NEXMFOTULWNy@DK^IH@FA\URi@JKZ{@Z[Je@a@_BISY_@e@MaAy@QYYiAo@c@MBOMYg@MQBYCu@Qm@iBs@QOMSOc@Dk@G]Na@Fy@@YA_AEQMcCMk@Y]QEOBY\c@TSI_@COESOa@a@IYMGKOO]QOOKYe@_@eAUgAC]ISQ@MRC\@XFv@RdAt@vBLj@f@zAPz@f@n@DNTNR`@Jv@@fBKbBMx@Mb@?NMz@HtATXFDL@LPDR@p@KLMBKAIEgA_AGCK[CQAY@OOu@Ci@Sq@Ks@y@cASe@W]]Mc@?_ASQAq@RIDm@HUJQ\Ch@@\BFDBNGTSL?z@TZTd@l@JPFT?ZETGPQ`@kAhBKb@Gr@Az@?x@D|BZvDNv@n@rBNv@J~@Ax@z@r@TZJ`AE`@IPD?
3710763,Nettleton to A,2,3,7.1,47.70843070931733,-116.74244388006628,47.72402431815863,-116.73397296108305,251.8,3530.4,u`ebHhgpgUc@cDEWa@cAeA}Cs@kBq@eCuA_I]mAKk@M]Kc@_@s@a@iAUa@s@cAM_@u@y@Qk@MQKYUYUc@s@e@SWWWQYi@c@[e@?QDs@Ey@EICYVQCQ@]HIOo@AKHQGe@KSAY@]Mg@CW@gAUy@EISQqA{@i@Y_@K]O}@QQK]Wi@Uk@c@m@Wq@a@gAc@MKQUSo@_@uAIs@Oe@Se@Ma@SSW?KFQn@JpADXJ`@Lz@Dt@H`@B^Xj@Vr@R`@JNZV`@XpAvALPLb@HJdA|@PZDR?d@Gb@WPQFQNUFM@MDWTY\Wt@e@dAIj@I^MTIHo@\IBIAOIIMOi@W_@QOUGQBSJMLUNYf@QRQBc@e@e@u@Mm@GIKEU?i@IQGUYe@]IIESMMUCa@Da@RGLGB{@GUIg@?c@IMDKNAHDXPXRLNRXp@@TGZOb@IpAOl@Az@Dd@?RGd@QDICMESYOKe@Uk@QM?e@L[?[M_@k@QMa@O_@A}@FQPKj@MRg@Tk@I]KAEIAi@Sg@G
21120258,Down BLM,0,NC,-9.5,47.719449,-116.749208,47.716988,-116.752656,84.0,883.8,oegbHpqqgUJl@L\LPNl@JXf@h@b@^h@VNAf@Kr@YF?BBBh@Ab@CNKNG@Y?SDK?w@QXDx@n@LB`A@RCRIB@@LARIFGRWPe@PO?o@QQAg@FuA^AD@DJJL@b@CTDTAF?XJL?PLNBh@TXNZLPPV`@ZVn@J
9081658,B to B Climb,1,4,9.3,47.720998,-116.734295,47.725898,-116.732263,110.9,1174.5,eogbHjtngUm@]WI{@NU?SOY[c@[SEg@EW@UCI@MNQh@MPe@PS@]A}@_@WOSGQAUFCDCNBTh@t@Hb@BzACZKr@@d@JV^b@Nf@f@|@BL?PAFEBCASS]Ss@eAUSw@m@EKG_@Dq@Ak@KWGGWGW@_A\WBK?IEIIUg@QSUK]KGGCMA[DOJQPg@Fm@@]Gy@[qAKq@Ak@Fe@
25220469,16th North,0,NC,0.3,47.723492,-116.759762,47.728758,-116.759732,2.0,585.9,y~gbHpssgUeBEsBBqB?_IGgIAi@?]D
18102490,Morning Coffee,1,4,8.6,47.716511,-116.753128,47.71997,-116.746108,135.9,1547.5,esfbH`jrgUJa@CIE?KDK@EGCQGMMA@SJMLYAUCOEAEDCABGHCBG?q@Bw@Go@Kc@?_AE@ENEEGWDALWOR@K@HKP?IK_@AKFWCF?QDCES?]Sw@L@DEHKP_@ZQBGJq@Du@KKEHAPE?EFWf@i@NO@MEMDCBEZ?^Ix@Cr@GASe@CCCDEAGW@WQy@?GDQASDUDARRFAL[BC@GCGIMKKGBO@GDa@n@On@EpAOf@CACGE[]yA@SF]G]DSEEKRIDK@EFKv@ARILA^IXEBY]KEM?EEW_@Us@OKW[MIKUCGPNDEXy@Ba@Gm@FOC[BQ?QEMG?EDMb@EDCGF_@@_@?gAGSk@mAAIOGEEAI?[O_@KCEQBG
23002894,17th Southbound,0,NC,-0.5,47.729418,-116.754242,47.72343,-116.75436,5.4,672.3,ycibH`qrgU|ADdB@p@CzBJhBBdD?|ABlFA~BB|AC
3862931,canfield towers straight down trail 1 to teepee,0,NC,-21.7,47.731381,-116.731472,47.721384,-116.744375,358.1,1646.7,cpibHvbngUBOLf@D?BZL?T\LJBJ@^BJd@b@VPHTHHXPVCNBRTj@`@z@`@ZXr@Td@b@RDH?TGLJJRRT\~AT^HDXh@L`@Nx@FNHJTJBDPzAJb@NrAvAlB\r@JTRxAPd@TFPNb@p@N`@LTXTBHGIE^DVf@fATz@Zt@JJHT\Bd@Z^|@X|@\~Bd@zABXL?v@^b@\RJPP\JDA@JLH@HFDn@Xr@Dr@IXH`@EbAFNDf@\DHAh@JTEP@PXdAHRRT
9933345,fat albert,0,NC,4.2,47.613812,-116.739429,47.61591,-116.739736,10.1,236.5,iqraHltogUOGiFf@E@IEi@Ds@H{@P
4877347,S Stach Hill Climb,0,NC,8.5,47.655878,-116.876574,47.657664,-116.884963,59.1,693.7,exzaHrmjhUQrBLrEArAIX]|@u@nA[t@Mr@Ch@QfAKtAEdA@vBE^CdAM^@RAHW\K^Yx@Md@c@tAk@pAGXAXJz@
4721645,South Stach Road Climb,1,4,4.9,47.658015,-116.890803,47.663343,-116.885073,105.9,2167.5,qe{aHpfmhULxB@~DFfAHbAAzAGj@Qd@]QJi@@{@Oy@Wc@YWsBw@sACy@]Qw@?OSaBu@uBmAeBg@qAm@q@a@]@o@^}@H{@C{@[gCa@kBCmAJ_DM}@OHGdAYbB[lA?pBEnAI`AU~@a@fAq@lAIv@Pf@`@n@Z~@Jt@Z`A?h@OGCGo@oBWs@U]w@o@YeAJcA\u@Ri@Jo@DmAAm@w@uEHkBByAYmB]q@WIw@L[H
25976539,Make it an Old Fashioned,0,NC,5.9,47.686187,-116.712363,47.685577,-116.71681,23.6,398.3,su`bHhkjgUO~CAvIEdAKzAAn@Bn@Db@Nh@HPJJZHrAF
21350750,Traditional Trail Climb,0,NC,8.0,47.686677,-116.71135,47.690123,-116.711358,32.0,396.7,ux`bH|djgUcACU@OAUDO?OCM?GBsAGw@?g@D{@CWDEDc@GU@a@AMBu@EmAB
